strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
AUS/TAS64/2020	2020-03-14		19B	Australia		Tasmania	19B	202011	MT973398	Homo sapiens	0.21	A.1	Older	Oceania		Sait et al E		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS145/2020	2020-03-26		19B	Australia		Tasmania	19B	202013	MT973460	Homo sapiens	0.30	A.1	Older	Oceania		Sait et al F		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
PER/covper066/2020	2020-03-16		19B	Peru		Peru	19B	202012	MW030206	Homo sapiens	0.22	A.1	Older	South America		Juscamayta et al B				
NZL/20VR1016/2020	2020-03-20		19B	New Zealand		New Zealand	19B	202012	MZ331905	Homo sapiens	0.21	A.1	Older	Oceania		Geoghegan et al A			Institute of Environmental Science and Research	
NZL/20VR2014/2020	2020-04-01		19B	New Zealand		Wellington	19B	202014	OK426566	Homo sapiens	0.31	A.1	Older	Oceania		Ren et al B		Wellington SCL (WN)	Institute of Environmental Science and Research	
USA/VT-CDC-03068154-001/2020	2020-03-05		19B	USA		Vermont	19B	202010	MT472623	Homo sapiens	0.22	A.1	Older	North America		Queen et al A				
AUS/VIC07/2020	2020-02-08		19B	Australia		Victoria	19B	202006	MT450924	Homo sapiens	0.29	A	Older	Oceania		Seemann et al A		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
MLI/M00959/2020	2020-06-10	1.00	19B	Mali		Mali	19B	202024	OL448870	Homo sapiens	0.39	A.21	Older	Africa		Dara et al A				
MLI/MAL0023/2020	2020-12-27	4.00	19B	Mali		Bamako	19B	202053	OL601928	Homo sapiens	0.55	B	Older	Africa		Lorenzo-Redondo et al A				
SLE/KGH-G-8790/2020	2020-04-27		19B	Sierra Leone		Bonthe	19B	202018	MT872501	Homo sapiens	0.34	A.12	Older	Africa		Goba et al A		Kenema Government Hospital	Kenema Government Hospital	
MLI/UCRC31/2020	2020-03-31		19B	Mali		Mali	19B	202014	MW474741	Homo sapiens	0.32	A	Older	Africa		Diarra et al				
EGY/Egypt-Army-Thirdwave-319/2021	2021-04-25	2.00	19B	Egypt		Egypt	19B	202117	MZ087810	Homo sapiens	0.50	A.28	Older	Africa		Seadawy et al A				
GHA/3176_S11/2020	2020-03-30		19B	Ghana		Ghana	19B	202014	MT890218	Homo sapiens	0.29	A	Older	Africa		Ngoi et al A				
GHA/84162_S45/2020	2020-04-25		19B	Ghana		Ghana	19B	202017	MT890242	Homo sapiens	0.29	A	Older	Africa		Ngoi et al B				
NZL/20CV0316/2020	2020-04-01		19B	New Zealand		Hawkes Bay	19B	202014	OK426995	Homo sapiens	0.29	A	Older	Oceania		Ren et al C		Canterbury Health Laboratories	Institute of Environmental Science and Research	
MLI/MAL0093/2021	2021-01-29	5.00	19B	Mali		Bamako	19B	202104	OL601931	Homo sapiens	0.77	A	Older	Africa		Lorenzo-Redondo et al B				
AUS/QLD02/2020	2020-07-20		19B	Australia		Australia	19B	202030	MW772455	Homo sapiens	0.29	A	Older	Oceania		Parry et al A				
NZL/20VR3131/2020	2020-06-16		19B	New Zealand		New Zealand	19B	202025	OK433260	Homo sapiens	0.29	A.11	Older	Oceania		Ren et al D		Wellington SCL (WN)	Institute of Environmental Science and Research	
UZB/hCoV-19-Uzb-CGB-03/2020	2020-10-14	1.00	19B	Uzbekistan		Tashkent	19B	202042	MW853560	Homo sapiens	0.39	A.24	Older	Asia		Ayubov et al				
UGA/MAKCHScov6/2020	2020-09-30	3.00	19B	Uganda		Uganda	19B	202040	MZ287350	Homo sapiens	0.47	A	Older	Africa		Mwesigwa et al A				
UGA/MAKCHScov3/2020	2020-11-01	4.00	19B	Uganda		Uganda	19B	202045	MZ287366	Homo sapiens	0.54	A.23.1	Older	Africa		Mwesigwa et al B				
UGA/MAKCHScov11/2021	2021-01-25	4.00	19B	Uganda		Uganda	19B	202104	MZ287351	Homo sapiens	0.56	A.23.1	Older	Africa		Mwesigwa et al C				
UGA/MUWRP-20200195568/2020	2020-12-28	5.00	19B	Uganda		Uganda	19B	202053	OL442161	Homo sapiens	0.54	A.23.1	Older	Africa		Byarugaba et al				
CHN/Hefei-240/2020	2020-02-06		19A	China		China	19A	202006	MZ824625	Homo sapiens	-0.00	B	Older	Asia		Cheng et al				
USA/CA-CDC-03040142-001/2020	2020-01-29	1.00	19A	USA		California	19A	202005	MT027064	Homo sapiens	0.02	B.33	Older	North America		Tao et al A				
AUS/VIC14/2020	2020-02-02		19A	Australia		Victoria	19A	202006	MT450931	Homo sapiens		B	Older	Oceania		Seemann et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
HongKong/60_0802/2020	2020-02-16		19A	Hong Kong		Hong Kong	19A	202008	MT232694	Homo sapiens		B	Older	Asia		Leung et al				
Netherlands/Loon_op_zand_1363512/2020	2020-02-29		19A	Netherlands		North Brabant	19A	202009	LR878361	Homo sapiens	0.30	B.11	Older	Europe		Fouchier et al			ERASMUS MC, UNIVERISTY MEDICAL CENTER	
TWN/CGMH-CGU-01/2020	2020-01-25		19A	Taiwan		Taiwan	19A	202004	MT192759	Homo sapiens		B	Older	Asia		Tsao et al A				
HongKong/HKPU-00036/2020	2020-03-27		19A	Hong Kong		Hong Kong	19A	202013	MZ266385	Homo sapiens	0.23	B.3	Older	Asia		Siu et al A				
USA/WV-QDX-1284/2020	2020-03-17		19A	USA		West Virginia	19A	202012	MW065351	Homo sapiens	-0.01	B	Older	North America		Rosenthal et al B		Quest Diagnostics	Quest Diagnostics	
KOR/KCDC12-NCCP43330/2020	2020-03-17		19A	South Korea		South Korea	19A	202012	MW466795	Homo sapiens		B	Older	Asia		Kim et al C				
USA/TN-VUMC-000055/2020	2020-07-31		19A	USA		Tennessee	19A	202031	OK372378	Homo sapiens	-0.01	B	Older	North America		Vestal et al		Vanderbilt University Medical Center - Suman R. Das Lab	Vanderbilt University Medical Center	
MWI/MLW00005/2020	2020-08-01		19A	Malawi		Malawi	19A	202031	OL778954	Homo sapiens		B	Older	Africa		Ashton et al A				
MWI/MLW00008/2020	2020-09-01		19A	Malawi		Malawi	19A	202036	OL778957	Homo sapiens		B	Older	Africa		Ashton et al B				
AUS/VIC01/2020	2020-01-25	1.00	19A	Australia		Victoria	19A	202004	MT007544	Homo sapiens	0.22	B	Older	Oceania		Caly et al C		Monash Medical Centre	The Peter Doherty Institute for Infection and Immunity	
THA/SI200478-NST/2020	2020-01-26		19A	Thailand		Thailand	19A	202005	MT447159	Homo sapiens	0.23	B	Older	Asia		Rodpan et al B				
THA/SI200893-NT/2020	2020-02-01		19A	Thailand		Thailand	19A	202005	MT447154	Homo sapiens	0.22	B	Older	Asia		Rodpan et al C				
AUS/VIC03/2020	2020-01-25		19A	Australia		Victoria	19A	202004	MT450920	Homo sapiens	0.22	B	Older	Oceania		Seemann et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
AUS/NT01/2020	2020-02-21		19A	Australia		Northern Territory	19A	202008	MT641645	Homo sapiens	0.09	B	Older	Oceania		Caly et al D		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
AUS/NT04/2020	2020-02-22		19A	Australia		Northern Territory	19A	202008	MT641647	Homo sapiens	0.09	B	Older	Oceania		Caly et al E		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
PER/covper065/2020	2020-03-16		19A	Peru		Peru	19A	202012	MW030205	Homo sapiens	0.09	B	Older	South America		Juscamayta et al C				
Jamaica/UN-CDC-3088776-001/2020	2020-03-11		19A	Jamaica		Jamaica	19A	202011	MT507272	Homo sapiens	0.26	B.6	Older	North America		Li et al A				
NZL/20CV0306/2020	2020-03-30		19A	New Zealand		Whanganui	19A	202014	OK426616	Homo sapiens	0.27	B.6	Older	Oceania		Ren et al E		Canterbury Health Laboratories	Institute of Environmental Science and Research	
TWN/CGMH-CGU-26/2020	2020-04-19		19A	Taiwan		Taiwan	19A	202017	MT517436	Homo sapiens	0.26	B.6	Older	Asia		Tsao et al B				
IND/GMCKN443/2020	2020-03-16		19A	India		India	19A	202012	MT415322	Homo sapiens	0.26	B.6	Older	Asia		Kammili et al				
PHL/GS/2020	2020-04-03		19A	Philippines		Manila	19A	202014	MT919768	Homo sapiens	0.26	B.6	Older	Asia		Velasco et al A				
USA/WY-WYPHL-20006826/2020	2020-03-30		19A	USA		Wyoming	19A	202014	MT791926	Homo sapiens	0.26	B.4.4	Older	North America		Hull et al A		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	
IRN/COVID19-IRVSH3/2020	2020-05-01	1.00	19A	Iran		Iran	19A	202018	MT994286	Homo sapiens	0.13	B.4	Older	Asia		Shahabzadeh et al				
TWN/CGMH-CGU-04/2020	2020-02-27		19A	Taiwan		Taiwan	19A	202009	MT370517	Homo sapiens	0.21	B.4	Older	Asia		Tsao et al C				
TWN/CGMH-CGU-06/2020	2020-03-05		19A	Taiwan		Taiwan	19A	202010	MT374102	Homo sapiens	0.21	B.4	Older	Asia		Gong et al A				
GEO/MM202082/2020	2020-02-28		19A	Georgia		Georgia (Asia)	19A	202009	MT231248	Homo sapiens	0.42	B.4	Older	Asia		Kotorashvili et al				
AUS/VIC846/2020	2020-04-04		19A	Australia		Victoria	19A	202014	MT451590	Homo sapiens	0.38	B.4	Older	Oceania		Seemann et al D		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
NZL/20VR0174/2020	2020-02-27		19A	New Zealand		New Zealand	19A	202009	MZ331872	Homo sapiens	0.22	B.4	Older	Oceania		Geoghegan et al B			Institute of Environmental Science and Research	
GEO/Tb-7851/2020	2020-05-01	1.00	19A	Georgia		Georgia (Asia)	19A	202018	MT786438	Homo sapiens	0.21	B.4	Older	Asia		Imnadze et al				
AUS/VIC1570/2020	2020-05-07	2.00	19A	Australia		Victoria	19A	202019	MW153070	Homo sapiens	0.32	B.4.5	Older	Oceania		Caly et al F		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
Iceland/13/2020	2020-02-27	1.00	19A	Iceland		Iceland	19A	202009	OU161584	Homo sapiens	0.35	B	Older	Europe		Jonsson et al A		The National University Hospital of Iceland	DECODE GENETICS	
ITA/INMI2-N/2020	2020-01-30		19A	Italy		Lazio	19A	202005	MT509662	Homo sapiens	0.31	B	Older	Europe		Gruber et al A				
POL/PL_P42/2020	2020-03-28	1.00	19A	Poland		Poland	19A	202013	MT775827	Homo sapiens	0.31	B	Older	Europe		Pancer et al				
ITA/INMI1-B1/2020	2020-02-12		19A	Italy		Lazio	19A	202007	MT509660	Homo sapiens	0.31	B	Older	Europe		Gruber et al B				
KOR/2020-CoV55_Nasopharynx/2020	2020-02-26		19A	South Korea		South Korea	19A	202009	MT730002	Homo sapiens	0.29	B.41	Older	Asia		Kim et al D				
Iceland/1350/2020	2020-04-02	1.00	19A	Iceland		Iceland	19A	202014	OU181713	Homo sapiens	0.21	B.40	Older	Europe		Jonsson et al B		The National University Hospital of Iceland	DECODE GENETICS	
NZL/20VR1763/2020	2020-03-25		19A	New Zealand		Southland	19A	202013	OK426528	Homo sapiens	0.30	B.31	Older	Oceania		Ren et al F		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
NZL/20VR1785/2020	2020-03-26		19A	New Zealand		Southland	19A	202013	OK426729	Homo sapiens	0.30	B.31	Older	Oceania		Ren et al G		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
USA/OR-QDX-1274/2020	2020-03-16		19A	USA		Oregon	19A	202012	MW065331	Homo sapiens	0.34	B.30	Older	North America		Rosenthal et al C		Quest Diagnostics	Quest Diagnostics	
JOR/SEARCH-0057-JOR/2020	2020-03-24		19A	Jordan		Amman	19A	202013	MT811565	Homo sapiens	0.31	B.28	Older	Asia		Abu-Dayyeh et al A		Biolab Diagnostic Laboratories	The Scripps Research Institute	
BRA/SP02cc/2020	2020-03-18	1.00	19A	Brazil		Brazil	19A	202012	MT350282	Homo sapiens	0.30	B	Older	South America		Malta et al A				
BRA/SP02/2020	2020-02-28		19A	Brazil		Brazil	19A	202009	MT126808	Homo sapiens	0.31	B	Older	South America		Amgarten et al				
TWN/CGMH-CGU-09/2020	2020-03-13		19A	Taiwan		Taiwan	19A	202011	MT374105	Homo sapiens	0.31	B	Older	Asia		Gong et al B				
LKA/COV486/2020	2020-03-31		19A	Sri Lanka		Sri Lanka	19A	202014	MT371050	Homo sapiens	0.22	B	Older	Asia		Jeewandara et al A				
EGY/CCHE57357_Wave_4_110/2021	2021-10-19	2.00	19A	Egypt		Egypt	19A	202142	OL351410	Homo sapiens	0.37	B.1	Older	Africa		Hatem et al A				
IND/539MN908947.3/2021	2021-09-25	4.00	19A	India		India	19A	202138	OK356438	Homo sapiens	0.78	AY.35	Older	Asia		Nair et al A				
USA/UT-CDC-ASC210456569/2021	2021-11-12	1.00	19A	USA	0.00	Utah	19A	202145	OL777396	Homo sapiens	0.49		Older	North America		Howard et al A		Aegis Sciences Corporation	CDC-OAMD	
BRA/ICO10202/2020	2020-05-05	1.00	20A	Brazil		Brazil	20A	202019	MZ419858	Homo sapiens	0.31	B.1	Older	South America		Temerozo et al A				
BRA/ICO10208/2020	2020-05-05	1.00	20A	Brazil		Brazil	20A	202019	MZ419859	Homo sapiens	0.31	B.1	Older	South America		Temerozo et al B				
AUS/NT42/2020	2020-05-01	1.00	20A	Australia		Northern Territory	20A	202018	MT641765	Homo sapiens	0.13	B	Older	Oceania		Caly et al G		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
PER/covper095/2020	2020-04-01	3.00	20A	Peru		Peru	20A	202014	MW030231	Homo sapiens	0.30	B.1	Older	South America		Juscamayta et al D				
MLI/M00960/2020	2020-02-06	2.00	20A	Mali		Mali	20A	202006	OL336607	Homo sapiens	0.47	B.1	Older	Africa		Dara et al B				
SLE/SL37/2021	2021-06-07	6.00	20A	Sierra Leone		Sierra Leone	20A	202123	MZ854396	Homo sapiens	0.61	B.1.629	Older	Africa		Wurie et al A				
ETH/S2/2021	2021-01-26	4.00	20A	Ethiopia		Addis Ababa	20A	202104	OL840803	Homo sapiens	0.44	B.1.480	One month ago	Africa		Bitew et al A				
MLT/Sliema_1/2020	2020-08-19	1.00	20A	Malta		Malta	20A	202034	MW079418	Homo sapiens	0.36	B.1.389	Older	Europe		Biazzo et al A				
MLT/Sliema_5/2020	2020-08-20	1.00	20A	Malta		Malta	20A	202034	MW079422	Homo sapiens	0.36	B.1.389	Older	Europe		Biazzo et al B				
MLT/Sliema_6/2020	2020-09-07	1.00	20A	Malta		Malta	20A	202037	MW079423	Homo sapiens	0.36	B.1.389	Older	Europe		Biazzo et al C				
AUS/VIC418/2020	2020-03-25	1.00	20A	Australia		Victoria	20A	202013	MT641671	Homo sapiens	0.34	B.1	Older	Oceania		Caly et al H		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
FRA/FRA_WGS157/2020	2020-03-06	1.00	20A	France		France	20A	202010	MW322968	Homo sapiens	0.33	B.1	Older	Europe		Marot et al A				
OU453223	2020-06-15	1.00	20A	Germany		Lower Saxony	20A	202025	OU453223	Homo sapiens	0.32	B.1.159	Older	Europe		? A		LAVES (Lower Saxony State Office for Consumer Protection and Food Safety), PO Box 3949, D-26029 Oldenburg	Robert Koch Institute	
PAK/SARS-CoV-2_104/2020	2020-04-24	1.00	20A	Pakistan		Punjab PK	20A	202017	MW422085	Homo sapiens	0.41	B.1	Older	Asia		Badar et al A				
PAK/SARS-CoV-2_114/2020	2020-04-30	1.00	20A	Pakistan		Punjab PK	20A	202018	MW422095	Homo sapiens	0.41	B.1	Older	Asia		Badar et al B				
PAK/SARS-CoV-2_103/2020	2020-04-22	1.00	20A	Pakistan		Punjab PK	20A	202017	MW422084	Homo sapiens	0.32	B.1	Older	Asia		Badar et al C				
GMB/GC19-029/2020	2020-04-20	1.00	20A	Gambia		Gambia	20A	202017	MZ040130	Homo sapiens	0.32	B.1	Older	Africa		Kanteh et al A				
USA/WA-S5254/2020	2020-08-03	1.00	20A	USA		Washington	20A	202032	MW773860	Homo sapiens	0.46	B.1.280	Older	North America		Nickerson et al A		WA State PHL	Seattle Flu Study submission group	
ETH/AH-003/2020	2020-11-10	3.00	20A	Ethiopia		Ethiopia	20A	202046	MZ172409	Homo sapiens	0.31	B.1	Older	Africa		Alemayehu et al				
ETH/S15/2021	2021-05-01	2.00	20A	Ethiopia		Addis Ababa	20A	202117	OL840816	Homo sapiens	0.41	B.1	One month ago	Africa		Bitew et al B				
ETH/S12/2021	2021-02-04	2.00	20A	Ethiopia		Addis Ababa	20A	202105	OL840813	Homo sapiens	0.44	B.1	One month ago	Africa		Bitew et al C				
DJI/NAMRU3_E108/2020	2020-07-25	2.00	20A	Djibouti		Djibouti	20A	202030	OK018273	Homo sapiens	0.49	B.1	Older	Africa		Arnold et al A				
DJI/NAMRU3_EB1/2020	2020-10-21	2.00	20A	Djibouti		Djibouti	20A	202043	OK018288	Homo sapiens	0.49	B.1	Older	Africa		Arnold et al B				
DJI/NAMRU3_A08/2020	2020-11-16	2.00	20A	Djibouti		Djibouti	20A	202047	MZ517138	Homo sapiens	0.49	B.1	Older	Africa		Arnold et al C				
TUR/KOC-IST-SP3/2020	2020-05-18	1.00	20A	Turkey		Turkey	20A	202021	MW199143	Homo sapiens	0.31	B.1.9.5	Older	Europe		Ozer et al A				
OU077018	2020-09-16	1.00	20A	Germany		North Rhine Westphalia	20A	202038	OU077018	Homo sapiens	0.35	B.1.9.4	Older	Europe		? B		Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf	Robert Koch Institute	
EGY/CPHL-NRC-20/2020	2020-03-13	1.00	20A	Egypt		Egypt	20A	202011	MW451239	Homo sapiens	0.32	B.1	Older	Africa		Roshdy et al				
VEN/12MZ/2020	2020-05-22	1.00	20A	Venezuela		Venezuela	20A	202021	MT907520	Homo sapiens	0.33	B.1.111	Older	South America		Loureiro et al B				
VEN/Anz7498/2021	2021-03-12	3.00	20A	Venezuela		Venezuela	20A	202110	MZ611974	Homo sapiens	0.54	B.1.111	Older	South America		Pujol et al A				
TWN/CGMH-CGU-62/2021	2021-04-13	2.00	20A	Taiwan		Taiwan	20A	202115	MZ277395	Homo sapiens	0.63	B.1.438.1	Older	Asia		Tsao et al D				
VEN/Zul6567/2021	2021-05-08	8.00	20A	Venezuela		Venezuela	20A	202118	MZ611975	Homo sapiens	0.75	B.1.625	Older	South America		Pujol et al B				
EGY/EGY_CCHE57357_A_12/2020	2020-05-20	1.00	20A	Egypt		Egypt	20A	202021	MW467427	Homo sapiens	0.32	B.1	Older	Africa		Hatem et al B				
SRB/SA00020-21-04/2020	2020-04-20	1.00	20A	Serbia		Sabac	20A	202017	MW485929	Homo sapiens	0.35	B.1	Older	Europe		Vidanovic et al A				
BRA/ICO1067/2020	2020-05-05	1.00	20A	Brazil		Brazil	20A	202019	MZ419872	Homo sapiens	0.30	B.1	Older	South America		Temerozo et al C				
SAU/492/2020	2020-02-04	2.00	20A	Saudi Arabia		Saudi Arabia	20A	202006	MT755884	Homo sapiens	0.32	B.1	Older	Asia		Alosaimi et al A				
DJI/NAMRU3_C58/2021	2021-01-20	2.00	20A	Djibouti		Djibouti	20A	202103	OK018336	Homo sapiens	0.48	B.1.160	Older	Africa		Arnold et al D				
FRA/66JQ-O/2020	2020-09-24	2.00	20A	France		France	20A	202039	MW505982	Homo sapiens	0.43	B.1.160	Older	Europe		Bessiere et al				
TUN/TUN-202055439/2020	2020-11-02	2.00	20A	Tunisia		Tunisia	20A	202045	MW251511	Homo sapiens	0.45	B.1.160	Older	Africa		Boutiba-Ben Boubaker et al A				
IDN/RSDS-RCVTD-UNAIR-35-B/2020	2020-06-24	3.00	20A	Indonesia		Indonesia	20A	202026	MZ570273	Homo sapiens	0.35	B.1	Older	Asia		Rantam et al				
PAK/SARS-CoV-2_17/2020	2020-05-30	1.00	20A	Pakistan		Islamabad Capital Territory	20A	202022	MW421998	Homo sapiens	0.35	B.1	Older	Asia		Badar et al D				
PAK/JRCGR-KHI03/2020	2020-06-03	1.00	20A	Pakistan		Sindh	20A	202023	MW447622	Homo sapiens	0.33	B.1	Older	Asia		Shakeel et al A				
EGY/EGY-ARMY-MCL011/2020	2020-11-19	1.00	20A	Egypt		Egypt	20A	202047	MW547419	Homo sapiens	0.48	B.1	Older	Africa		Seadawy et al B				
EGY/PHARCO-ARMY88/2021	2021-03-09	1.00	20A	Egypt		Egypt	20A	202110	MW828637	Homo sapiens	0.48	B.1	Older	Africa		Helmy et al A				
OV005933	2020-03-23	1.00	20A	Saudi Arabia		Makkah	20A	202013	OV005933	Homo sapiens	0.33	B.1	Older	Asia		Naeem et al A		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
OU994399	2020-05-24	1.00	20A	Saudi Arabia		Jeddah	20A	202022	OU994399	Homo sapiens	0.39	B.1	Older	Asia		Naeem et al B		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
PAK/SARS-CoV-2_63/2020	2020-05-30	1.00	20A	Pakistan		Punjab PK	20A	202022	MW422044	Homo sapiens	0.34	B.1	Older	Asia		Badar et al E				
NZL/20CV0619/2020	2020-11-27	2.00	20A	New Zealand		Canterbury	20A	202048	OK426816	Homo sapiens	0.38	B.1.471	Older	Oceania		Ren et al H		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20CV0697/2020	2020-12-22	1.00	20A	New Zealand		Auckland	20A	202052	OK426482	Homo sapiens	0.35	B.1.471	Older	Oceania		Ren et al I		LabPLUS	Institute of Environmental Science and Research	
SAU/596/2020	2020-02-18	1.00	20A	Saudi Arabia		Saudi Arabia	20A	202008	MT755893	Homo sapiens	0.33	B.1.468	Older	Asia		Alosaimi et al B				
IRN/3533/2020	2020-10-10	3.00	20A	Iran		Iran	20A	202041	MZ314345	Homo sapiens	0.50	B.1.36.7	Older	Asia		Khosravi et al				
PAK/JRCGR_SCV-68/2020	2020-11-21	3.00	20A	Pakistan		Sindh	20A	202047	MW960290	Homo sapiens	0.54	B.1.36.31	Older	Asia		Irfan et al A				
IND/KA-NIMH-SEQ-85/2020	2020-11-24	3.00	20A	India		Karnataka	20A	202048	OM073881	Homo sapiens	0.55	B.1.36.29	One week ago	Asia		Pattabiraman et al				
NZL/20CV0346/2020	2020-09-15	1.00	20A	New Zealand		Auckland	20A	202038	OK426930	Homo sapiens	0.43	B.1.36.38	Older	Oceania		Ren et al J		LabPLUS	Institute of Environmental Science and Research	
NZL/20CV0065/2020	2020-06-19	1.00	20A	New Zealand		Auckland	20A	202025	OK426893	Homo sapiens	0.39	B.1.36	Older	Oceania		Ren et al K		LabTests	Institute of Environmental Science and Research	
