season,clade,count
2019Q4,20F,0.0
2020Q1,20F,0.0
2020Q2,20F,3.0
2020Q3,20F,10.0
2020Q4,20F,2.0
2021Q1,20F,0.0
2021Q2,20F,0.0
2021Q3,20F,0.0
2021Q4,20F,0.0
2022Q1,20F,0.0
2019Q4,"20I (Alpha, V1)",0.0
2020Q1,"20I (Alpha, V1)",0.0
2020Q2,"20I (Alpha, V1)",0.0
2020Q3,"20I (Alpha, V1)",0.0
2020Q4,"20I (Alpha, V1)",6.0
2021Q1,"20I (Alpha, V1)",49.0
2021Q2,"20I (Alpha, V1)",53.0
2021Q3,"20I (Alpha, V1)",2.0
2021Q4,"20I (Alpha, V1)",4.0
2022Q1,"20I (Alpha, V1)",0.0
2019Q4,21M (Omicron),0.0
2020Q1,21M (Omicron),0.0
2020Q2,21M (Omicron),0.0
2020Q3,21M (Omicron),0.0
2020Q4,21M (Omicron),0.0
2021Q1,21M (Omicron),0.0
2021Q2,21M (Omicron),0.0
2021Q3,21M (Omicron),0.0
2021Q4,21M (Omicron),123.0
2022Q1,21M (Omicron),10.0
2019Q4,20E (EU1),0.0
2020Q1,20E (EU1),0.0
2020Q2,20E (EU1),0.0
2020Q3,20E (EU1),5.0
2020Q4,20E (EU1),8.0
2021Q1,20E (EU1),6.0
2021Q2,20E (EU1),0.0
2021Q3,20E (EU1),0.0
2021Q4,20E (EU1),0.0
2022Q1,20E (EU1),0.0
2019Q4,21D (Eta),0.0
2020Q1,21D (Eta),0.0
2020Q2,21D (Eta),0.0
2020Q3,21D (Eta),0.0
2020Q4,21D (Eta),0.0
2021Q1,21D (Eta),2.0
2021Q2,21D (Eta),4.0
2021Q3,21D (Eta),1.0
2021Q4,21D (Eta),0.0
2022Q1,21D (Eta),0.0
2019Q4,21B (Kappa),0.0
2020Q1,21B (Kappa),0.0
2020Q2,21B (Kappa),0.0
2020Q3,21B (Kappa),0.0
2020Q4,21B (Kappa),0.0
2021Q1,21B (Kappa),0.0
2021Q2,21B (Kappa),1.0
2021Q3,21B (Kappa),0.0
2021Q4,21B (Kappa),0.0
2022Q1,21B (Kappa),0.0
2019Q4,21A (Delta),0.0
2020Q1,21A (Delta),0.0
2020Q2,21A (Delta),0.0
2020Q3,21A (Delta),0.0
2020Q4,21A (Delta),0.0
2021Q1,21A (Delta),3.0
2021Q2,21A (Delta),8.0
2021Q3,21A (Delta),60.0
2021Q4,21A (Delta),23.0
2022Q1,21A (Delta),1.0
2019Q4,21I (Delta),0.0
2020Q1,21I (Delta),0.0
2020Q2,21I (Delta),0.0
2020Q3,21I (Delta),0.0
2020Q4,21I (Delta),1.0
2021Q1,21I (Delta),0.0
2021Q2,21I (Delta),4.0
2021Q3,21I (Delta),70.0
2021Q4,21I (Delta),56.0
2022Q1,21I (Delta),0.0
2019Q4,21J (Delta),0.0
2020Q1,21J (Delta),0.0
2020Q2,21J (Delta),0.0
2020Q3,21J (Delta),0.0
2020Q4,21J (Delta),0.0
2021Q1,21J (Delta),1.0
2021Q2,21J (Delta),16.0
2021Q3,21J (Delta),787.0
2021Q4,21J (Delta),995.0
2022Q1,21J (Delta),1.0
